"date","var","mean","sd"
2024-05-10,"FVC",0.0267357970220304,0.0610512762344925
2024-05-10,"NNI",0.745819998829172,0.166647555526093
2024-05-12,"LAI",0.0486058103885816,0.1945146839763
2024-05-12,"Cm",0.00197815785670469,0.000938018008578203
2024-05-12,"CNC_Cprot",0.594081789680194,0.591348900482745
2024-05-12,"FVC",0.0392129520701125,0.0655716725618328
2024-05-12,"NNI",0.771903725695987,0.050767477751382
2024-06-01,"LAI",0.156673944722062,0.265686231778378
2024-06-01,"Cm",0.00387201364034364,0.000913200276808714
2024-06-01,"CNC_Cprot",0.745426708093281,0.855140326366678
2024-06-01,"FVC",0.180648495335866,0.11769585049433
2024-06-01,"NNI",0.79473323254874,0.178414621041047
2024-06-19,"LAI",0.00641541161234653,0.0315774792874
2024-06-19,"Cm",0.00521720753952883,0.000728434034038391
2024-06-19,"CNC_Cprot",0.259159887384158,0.180970116531568
2024-06-19,"FVC",0.0194122008617215,0.0230334131102508
2024-06-19,"NNI",NA,NA
2024-07-04,"LAI",0.296677578868734,0.0985965964324016
2024-07-04,"Cm",0.00341049397329063,0.000238997551922119
2024-07-04,"CNC_Cprot",1.27800156228071,0.35925992968471
