crop_id,phase,high_yield_above,inc_N_yield,inc_N_low_SOM,inc_N_low_vigor,inc_N_grassed,inc_N_rain_surplus,inc_N_straw_burial,inc_N_adverse_climate,inc_N_compacted_no_till,inc_N_higher_demand,inc_N_high_density,inc_N_grasses,inc_N_dual_season,inc_N_max,inc_P2O5_yield,inc_P2O5_low_SOM,inc_P2O5_early_sowing,inc_P2O5_continuous_crop,inc_P2O5_high_active_carbonate,inc_P2O5_dual_season,inc_P2O5_max,inc_K2O_yield,inc_K2O_unfertilised_or_late_cv,inc_K2O_low_SOM,inc_K2O_dual_season,inc_K2O_storage_industrial_cv,inc_K2O_max
E34,nd,54.0,30.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,50.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,20.0
E35,nd,75.0,30.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,70.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,20.0
E36,nd,7.8,25.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,40.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,20.0
E37,nd,7.8,25.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,40.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,20.0
E38,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
E39,nd,6.0,10.0,10.0,10.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,10.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0
E40,nd,6.0,10.0,10.0,10.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,10.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0
E41,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
E42,nd,8.4,25.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,0.0,25.0
E43,nd,8.4,25.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,0.0,25.0
