id,crop_id,crop,N,P2O5,K2O,balance,reference_yield,std_N_demand,std_P2O5_demand,std_K2O_demand,harvested_part
189.0,O69,Verza - cavolo da mercato media produzione,0.55,0.2,0.57,sì,24.0,132.0,48.00000000000001,136.8,
190.0,O70,Verza - cavolo da mercato alta produzione,0.55,0.2,0.57,sì,50.0,275.00000000000006,100.0,284.99999999999994,
191.0,O71,Verza da industria,0.41,0.21,0.55,sì,35.0,143.5,73.5,192.5,
192.0,O72,Zucca,0.39,0.1,0.7,sì,35.0,136.5,35.0,245.0,
193.0,O73,Zucchino da industria media produzione,0.49,0.17,0.85,sì,50.0,245.0,85.0,425.0,
194.0,O74,Zucchino da industria alta produzione,0.49,0.17,0.85,sì,65.0,318.5,110.5,552.5,
195.0,O75,Zucchino da mercato fresco media produzione,0.44,0.16,0.78,sì,40.0,176.0,64.0,312.0,
196.0,O76,Zucchino da mercato  fresco alta produzione,0.44,0.16,0.78,sì,50.0,220.0,80.0,390.0,
197.0,S1,Barbabiertola da seme (fase porta seme),0.0,0.0,0.0,no,,,,,
198.0,S2,Carota da seme (fase portaseme),0.0,0.0,0.0,no,,,,,
199.0,S3,Carota da seme (fase vivaio),0.41,0.16,0.69,sì,50.0,205.0,80.0,345.0,
200.0,S4,Cavoli da seme,0.0,0.0,0.0,no,,,,,
201.0,S5,Cetriolo da seme,0.0,0.0,0.0,no,,,,,
202.0,S6,Cicoria da seme,0.0,0.0,0.0,no,,,,,
203.0,S7,Cipolla da seme (fase portaseme),0.0,0.0,0.0,no,,,,,
204.0,S8,Cipolla da seme (fase vivaio),0.31,0.12,0.32,sì,45.0,139.5,53.99999999999999,144.0,
205.0,S9,Coriandolo da seme,0.0,0.0,0.0,no,,,,,
206.0,S10,Erba medica  da seme,2.06,0.53,2.03,sì,,,,,
207.0,S11,Finocchio da seme,0.0,0.0,0.0,no,,,,,
208.0,S12,Frumento duro da seme (granella),3.11,0.85,0.59,sì,6.0,186.6,51.0,35.4,
209.0,S13,Frumento tenero da seme (granella),2.96,0.78,0.5,sì,6.0,177.59999999999997,46.8,30.0,
210.0,S14,Girasole da seme (granella),4.31,1.24,1.15,sì,3.0,129.3,37.199999999999996,34.5,
211.0,S15,Lattuga da seme,0.0,0.0,0.0,no,,,,,
212.0,S16,Orzo da seme (granella),2.24,0.8,0.52,sì,6.5,145.60000000000002,52.0,33.8,
213.0,S17,Pisello proteico da seme (granella),4.55,0.88,1.28,sì,,,,,
214.0,S18,Prezzemolo da seme,0.0,0.0,0.0,no,,,,,
215.0,S19,Ravanello da seme,0.0,0.0,0.0,no,,,,,
216.0,S20,Segale da seme (granella),2.78,0.7,0.5,sì,4.0,111.19999999999999,28.0,20.0,granella
217.0,S21,Soia da seme (granella),6.3,1.36,2.01,sì,3.5,220.5,47.60000000000001,70.35,
218.0,S22,Triticale da seme (granella),2.54,0.7,0.5,sì,11.5,292.1,80.49999999999999,57.5,granella
219.0,S23,Trifoglio da seme (trifoglio),2.07,0.6,2.45,sì,,,,,
220.0,BL1,Bietola da foglia,0.0,0.0,0.0,no,11.5,0.0,0.0,0.0,
221.0,BL2,Bietola da foglia,0.0,0.0,0.0,no,11.5,0.0,0.0,0.0,
222.0,BL3,Cicorino,0.0,0.0,0.0,no,11.5,0.0,0.0,0.0,
223.0,BL4,Cicorino,0.0,0.0,0.0,no,12.0,0.0,0.0,0.0,
224.0,BL5,Foglie e steli di Brassica,0.0,0.0,0.0,no,12.0,0.0,0.0,0.0,
