id,group_progressive,crop_id,crop,n_fixation_pct,cycle_id,cultivation,N_limit,no_till_reduction,genus,species
108.0,18.0,F18,Prati di graminacee,0.0,p,pieno campo,340.0,False,,
109.0,19.0,F19,Prati di trifoglio,50.0,p,pieno campo,340.0,False,,
110.0,20.0,F20,Prati di leguminose in purezza - Trifoglio,50.0,p,pieno campo,340.0,False,,
111.0,21.0,F21,Prati di leguminose in purezza - Ginestrino,50.0,p,pieno campo,340.0,False,,
112.0,22.0,F22,Prati di leguminose in purezza - Sulla,50.0,p,pieno campo,340.0,False,,
113.0,23.0,F23,Prati di leguminose in purezza - Lupinella,50.0,p,pieno campo,340.0,False,,
114.0,24.0,F24,Prati pascoli in collina,0.0,p,pieno campo,340.0,False,,
115.0,25.0,F25,Prati polifiti >50% leguminose,30.0,p,pieno campo,340.0,False,,
116.0,26.0,F26,Prati polifiti,0.0,p,pieno campo,340.0,False,,
117.0,27.0,F27,Prati stabili in pianura,0.0,p,pieno campo,340.0,False,,
118.0,28.0,F28,Prato misto,0.0,p,pieno campo,340.0,False,,
119.0,29.0,F29,Segale insilato,0.0,m,pieno campo,340.0,True,,
120.0,30.0,F30,Triticale insilato,0.0,m,pieno campo,340.0,True,,
121.0,1.0,O1,Aglio,0.0,m,pieno campo,340.0,False,Allium,sativum
122.0,2.0,O2,Asparago verde (pianta intera),0.0,p,pieno campo,340.0,False,Asparagus,officinalis
123.0,3.0,O3,Asparago verde alta produzione,0.0,p,pieno campo,340.0,False,Asparagus,officinalis
124.0,4.0,O4,Basilico media produzione,0.0,m,pieno campo,340.0,False,Ocimum,basilicum
125.0,5.0,O5,Basilico alta produzione più tagli,0.0,m,pieno campo,340.0,False,Ocimum,basilicum
126.0,6.0,O6,Bietola da costa e da foglia m. fresco  media produzione,0.0,m,pieno campo,340.0,False,Beta,vulgaris var. cycla
127.0,7.0,O7,Bietola da costa e da foglia m. fresco  alta produzione più tagli,0.0,m,pieno campo,340.0,False,Beta,vulgaris var. cycla
128.0,8.0,O8,Bietola da foglie per l'industria media produzione più tagli,0.0,m,pieno campo,340.0,False,Beta,vulgaris var. cycla
129.0,9.0,O9,Bietola da costa per l'industria alta produzione più tagli,0.0,m,pieno campo,340.0,False,Beta,vulgaris var. cycla
130.0,10.0,O10,Broccoletto  - Cime di rapa,0.0,m,pieno campo,340.0,False,Brassica,oleracea var. gongylodes
