id,group_id,crop_id,phase,crop,max_theoretical_N,MAS_N,reference_yield,yield_unit,product,dry_or_irrigated,reference_yield_t_ha,dry_matter_pct,standard_yield,standard_N,max_increment,max_N_dose,note,crop_en
165.0,45.0,O45,nd,Patata,340.0,190.0,48.0,tq,,no,48.0,21.5,47.5,190.0,40.0,230.0,RR n. 2/2024,Potato
166.0,46.0,O46,nd,Peperone in serra alta produzione,340.0,200.0,50.0,tq,,no,50.0,7.7,70.0,190.0,40.0,230.0,RR n. 2/2024,Peperone in serra alta produzione
167.0,47.0,O47,nd,Peperone in serra media produzione,340.0,200.0,50.0,tq,,no,50.0,,50.0,160.0,40.0,200.0,,Peperone in serra media produzione
168.0,48.0,O48,nd,Piccoli frutti,340.0,200.0,50.0,tq,,no,50.0,,,,0.0,,,Piccoli frutti
169.0,49.0,O49,nd,Pisello da industria (grani),340.0,,,,,no,0.0,,6.0,50.0,20.0,70.0,,Pisello da industria (grani)
170.0,50.0,O50,nd,Pisello da mercato fresco (baccelli),340.0,,,nd,nd,no,0.0,20.0,6.0,50.0,20.0,70.0,RR n. 2/2024,Pisello da mercato fresco (baccelli)
171.0,51.0,O51,nd,Pomodoro da industria media produzione,340.0,180.0,80.0,tq,,no,80.0,8.0,70.0,130.0,40.0,170.0,RR n. 2/2024,Pomodoro da industria media produzione
172.0,52.0,O52,nd,Pomodoro da industria alta produzione,340.0,180.0,80.0,tq,,no,80.0,8.0,90.0,150.0,40.0,190.0,,Pomodoro da industria alta produzione
173.0,53.0,O53,nd,Pomodoro da mensa a pieno campo,340.0,180.0,80.0,tq,,no,80.0,8.0,70.0,130.0,40.0,170.0,RR n. 2/2024,Pomodoro da mensa a pieno campo
174.0,54.0,O54,nd,Pomodoro da mensa in serra,340.0,180.0,80.0,tq,,no,80.0,8.0,115.0,230.0,40.0,270.0,RR n. 2/2024,Pomodoro da mensa in serra
175.0,55.0,O55,nd,Porro,340.0,126.0,35.0,tq,,no,35.0,,40.0,180.0,50.0,230.0,RR n. 2/2024,Porro
176.0,56.0,O56,nd,Prezzemolo media produzione,340.0,100.0,20.0,tq,,no,20.0,12.2,20.0,80.0,30.0,110.0,RR n. 2/2024,Prezzemolo media produzione
177.0,57.0,O57,nd,Prezzemolo alta produzione più tagli,340.0,100.0,20.0,tq,,no,20.0,12.2,43.5,50.0,30.0,80.0,RR n. 2/2024,Prezzemolo alta produzione più tagli
178.0,58.0,O58,nd,Radicchio (cicoria a foglie colorate) media produzione,340.0,190.0,20.0,tq,,no,20.0,11.9,20.0,130.0,30.0,160.0,RR n. 2/2024,Radicchio (cicoria a foglie colorate) media produzione
179.0,59.0,O59,nd,Radicchio (cicoria a foglie colorate) alta produzione,340.0,190.0,20.0,tq,,no,20.0,11.9,35.0,150.0,30.0,180.0,RR n. 2/2024,Radicchio (cicoria a foglie colorate) alta produzione
180.0,60.0,O60,nd,Rapa,340.0,,,nd,nd,no,0.0,6.7,35.0,,0.0,,,Rapa
181.0,61.0,O61,nd,Ravanello,340.0,80.0,30.0,tq,,no,30.0,5.4,30.0,80.0,25.0,105.0,RR n. 2/2024,Ravanello
182.0,62.0,O62,nd,Rucola media produzione,340.0,130.0,30.0,tq,,no,30.0,5.7,18.5,110.0,30.0,140.0,calcolato col DPI,Rucola media produzione
183.0,63.0,O63,nd,Rucola alta produzione con più tagli,340.0,150.0,30.0,tq,,no,30.0,5.7,37.0,80.0,30.0,110.0,calcolato col DPI,Rucola alta produzione con più tagli
